fontstyle,italic,Bold
SqqwmsMyriadPro-SemiboldSemiCn,0,1
ByhvhfSButtons,0,0
CvxsflMyriadPro-SemiCn,0,0
QqkwkwAdvTTe45e47d2,0,0
MnsstrAdvTT7329fd89.I,1,0
GxxdxcAdvTTaf7f9f4f.B,0,1
WkvlfvAdvTTb5929f4c,0,0
KlswrnAdvTT99c4c969,0,0
PsfcmjAdvTT1b53b5fb.I,1,0
KrktxkAdvTT86d47313,0,0
GdkbgfAdvTT4fa15320.B,0,1
4,0,0
DmrwcdAdvTT8861b38f.I,1,0
XnwcbhAdvP4C4E46,0,0
GpkyqyAdvP4C4E74,0,0
PpldfrAdvP4C4E51,0,0
FdctrbAdvTT83913201.I,1,0
RgqhsvArialMT,0,0
FqvwwxArial-BoldMT,0,1
DnkvbhArial-ItalicMT,1,0
VvfxjsAdvTTe45e47d2,0,0
XpxpbcAdvTT7329fd89.I,1,0
XlvwcxAdvTTaf7f9f4f.B,0,1
NypfgpAdvTTb5929f4c,0,0
MyvvwxAdvTT99c4c969,0,0
GdlnjfAdvTT1b53b5fb.I,1,0
BlfyqvAdvTT86d47313,0,0
FnrgphAdvTT8861b38f.I,1,0
1,0,0
BypstkAdvTT4fa15320.B,0,1
HdpwkqAdvTT83913201.I,1,0
LxrmdrArialMT,0,0
SbcqjxArial-BoldMT,0,1
WmlstdArial-ItalicMT,1,0
CtxglbAdvTTe45e47d2,0,0
HhvfxvAdvTT7329fd89.I,1,0
CwqftqAdvTTaf7f9f4f.B,0,1
YcqrvvAdvTTb5929f4c,0,0
XxlvkwAdvTT99c4c969,0,0
KxxhgxAdvTT86d47313,0,0
PbrpwgAdvTT8861b38f.I,1,0
GlgxvwMyriadPro-SemiboldSemiCn,0,1
JngrmpSButtons,0,0
YryjpxMyriadPro-SemiCn,0,0
WarnockPro-Regular2,0,0
MTSYN,0,0
CMEX10,0,0
MTMI,0,0
SPSMTSYBBold,0,1
STIXMath-Regular,0,0
TvjqksAdvPTimes,0,0
ScjtwsAdvPTimesB,0,1
McfdcdAdvPTimesBI,0,1
KgvsyhAdvNPSTim-B,0,1
QbqdfkAdvPSSym,0,0
JxcydbAdvPTimesI,1,0
FnyklkAdvTir_symb,0,0
WssnrsAdvP4C4E74,0,0
VbrvlkAdvPSSPS-AS,0,0
JmsscdAdvSPRING-R,0,0
SngnwnAdvPSMP13,0,0
VljlyrAdvP4C4E51,0,0
GkyylpAdvP4C4E59,0,0
YhqbkdAdvP4C4E46,0,0
BrjbbcAdvPSMP10,0,0
MbybskTimesNewRomanPS-BoldMT,0,1
VglycxCalibri-Bold,0,1
LhrxgrCalibri,0,0
YpqnpjAdvTTe45e47d2,0,0
NkcrglAdvTT7329fd89.I,1,0
WlqnccAdvTTaf7f9f4f.B,0,1
JclwrdAdvTTb5929f4c,0,0
BvfbcsAdvTT99c4c969,0,0
RbftvdAdvTT1b53b5fb.I,1,0
NjxjwtAdvTT86d47313,0,0
NcggqcAdvTT8861b38f.I,1,0
RqnpcwAdvTT83913201.I,1,0
FwtxvrAdvTT4fa15320.B,0,1
BlffkcAdvP4C4E74,0,0
DpjqdhAdvP4C4E51,0,0
MhyvclMyriadPro-SemiboldSemiCn,0,1
HdtpsfSButtons,0,0
QyrvvpMyriadPro-SemiCn,0,0
Calibri-Bold2,0,1
Calibri2,0,0
Calibri-Bold3,0,1
Calibri,0,0
Calibri-Bold,0,1
WwynymAdvPTimes,0,0
MtklbfAdvPTimesB,0,1
DklsvpAdvNPSTim-B,0,1
LcjmgcAdvPSSym,0,0
QmngjyAdvP4C4E74,0,0
JjnqfnAdvPSSPS-AS,0,0
QxbqxfAdvTir_symb,0,0
NvlvttAdvSPRING-R,0,0
XdkbchAdvPTimesI,1,0
WnmkcwAdvPSMP13,0,0
DdwjylAdvP4C4E51,0,0
JgdgbrAdvPSMP4,0,0
KpmchgAdvPi1,0,0
XmwttnAdvPTimes,0,0
QrxsswAdvPTimesB,0,1
MlrylxAdvNPSTim-B,0,1
DqkxrrAdvPSSym,0,0
YrmbjxAdvP4C4E74,0,0
LflhscAdvPSSPS-AS,0,0
YtfbhkAdvSPRING-R,0,0
KgcbmyTimesNewRomanPSMT,0,0
NfdbsxSymbol,0,0
HwrsgpAdvPSMP13,0,0
JrmjxkAdvPSMP10,0,0
GhcxjgAdvTir_symb,0,0
RrcypgAdvPTimesI,1,0
MlqqjfAdvP4C4E51,0,0
YlgtrhAdvPSMP4,0,0
GkrnwwArialMT,0,0
JnfxhkArial-BoldMT,0,1
LqbwkfAdvP4C4E59,0,0
HkdpgxAdvPi1,0,0
RqqndlTimesNewRomanPS-BoldMT,0,1
XtqctjAdvTTe45e47d2,0,0
YmghkjAdvTT7329fd89.I,1,0
LnhnqvAdvTTaf7f9f4f.B,0,1
MftcknAdvTTb5929f4c,0,0
WnkjfwAdvTT99c4c969,0,0
KqkqjcAdvTT1b53b5fb.I,1,0
SqvcbwAdvTT86d47313,0,0
